# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  138       4.188400711634e+03       1.198957533651e+00       7.236290500655e-03      -4.689453982685e+01       8.660889257788e-08       3.155020285361e-04      -1.855676646405e-06 
  139       4.225038630630e+03       1.199717916484e+00       7.348123697042e-03      -4.720076387382e+01       8.612204542347e-08       3.128912195075e-04      -1.840176642868e-06 
  140       4.261579788791e+03       1.199954379488e+00       7.461041140963e-03      -4.748601941973e+01       8.564114444950e-08       3.103254686266e-04      -1.824661416161e-06 
  141       4.298012516659e+03       1.199668106786e+00       7.575050263727e-03      -4.774984618354e+01       8.516499957890e-08       3.078021737754e-04      -1.809210204151e-06 
  142       4.334324613644e+03       1.198860951803e+00       7.690158560385e-03      -4.799179186185e+01       8.469196337748e-08       3.053178100091e-04      -1.793905908276e-06 
  143       4.370503336969e+03       1.197535450874e+00       7.806373589463e-03      -4.821141243105e+01       8.421989745414e-08       3.028678844691e-04      -1.778835161502e-06 
  144       4.406536350488e+03       1.195694924637e+00       7.923702398230e-03      -4.840827613877e+01       8.374687660518e-08       3.004483285209e-04      -1.764070479122e-06 
  145       4.442414699893e+03       1.193343764749e+00       8.042149735189e-03      -4.858197528369e+01       8.327353487565e-08       2.980600055717e-04      -1.749613578235e-06 
  146       4.478130111180e+03       1.190487201442e+00       8.161719660043e-03      -4.873211617689e+01       8.280111295611e-08       2.957047819579e-04      -1.735443815540e-06 
  147       4.513674051623e+03       1.187131232271e+00       8.282416098801e-03      -4.885831587750e+01       8.233074743564e-08       2.933841249501e-04      -1.721535127520e-06 
  148       4.549037724246e+03       1.183282636230e+00       8.404242840215e-03      -4.896020251600e+01       8.186345839161e-08       2.910990794391e-04      -1.707855782918e-06 
  149       4.584212062280e+03       1.178948987866e+00       8.527203532219e-03      -4.903741561772e+01       8.140013651708e-08       2.888502442245e-04      -1.694368131344e-06 
  150       4.619187723628e+03       1.174138671397e+00       8.651301678355e-03      -4.908960642613e+01       8.094152977930e-08       2.866377479051e-04      -1.681028348005e-06 
  151       4.653955085331e+03       1.168860894823e+00       8.776540634218e-03      -4.911643822632e+01       8.048822960270e-08       2.844612243707e-04      -1.667786174552e-06 
  152       4.688504238030e+03       1.163125704049e+00       8.902923603881e-03      -4.911758666834e+01       8.004065657004e-08       2.823197878969e-04      -1.654584656062e-06 
  153       4.722824980430e+03       1.156943996994e+00       9.030453636337e-03      -4.909274009062e+01       7.959904563513e-08       2.802120078408e-04      -1.641359874134e-06 
  154       4.756906813764e+03       1.150327537710e+00       9.159133621930e-03      -4.904159984337e+01       7.916343084058e-08       2.781358829397e-04      -1.628040676114e-06 
  155       4.790738936255e+03       1.143288970496e+00       9.288966288793e-03      -4.896388061194e+01       7.873362953412e-08       2.760888152108e-04      -1.614548400442e-06 
  156       4.824310237585e+03       1.135841834017e+00       9.419954199277e-03      -4.885931074024e+01       7.830922607703e-08       2.740675834535e-04      -1.600796598124e-06 
  157       4.857609293350e+03       1.128000575414e+00       9.552099746392e-03      -4.872763255415e+01       7.788955503807e-08       2.720683163536e-04      -1.586690750324e-06 
  158       4.890624359531e+03       1.119780564426e+00       9.685405150239e-03      -4.856860268488e+01       7.747368386651e-08       2.700864651890e-04      -1.572127982086e-06 
  159       4.923343366955e+03       1.111198107500e+00       9.819872454444e-03      -4.838199239236e+01       7.706039503766e-08       2.681167761384e-04      -1.556996772174e-06 
  160       4.955753915759e+03       1.102270461912e+00       9.955503522594e-03      -4.816758788870e+01       7.664816766452e-08       2.661532621906e-04      -1.541176659040e-06 
  161       4.987844089171e+03       1.093015447963e+00       1.009229984870e-02      -4.792518897622e+01       7.623565988777e-08       2.641907676958e-04      -1.524564731662e-06 
  162       5.019604987356e+03       1.083450217411e+00       1.023026197720e-02      -4.765460414755e+01       7.582329361642e-08       2.622299568039e-04      -1.507159699743e-06 
  163       5.051028408104e+03       1.073592402602e+00       1.036939002465e-02      -4.735565566831e+01       7.541191230184e-08       2.602729318829e-04      -1.488988399240e-06 
  164       5.082106045919e+03       1.063460520755e+00       1.050968385662e-02      -4.702818153651e+01       7.500229758968e-08       2.583216915129e-04      -1.470080051400e-06 
  165       5.112829490249e+03       1.053073986232e+00       1.065114308333e-02      -4.667203579823e+01       7.459516269639e-08       2.563781229393e-04      -1.450466328256e-06 
  166       5.143190223718e+03       1.042453122800e+00       1.079376705523e-02      -4.628708886323e+01       7.419114556463e-08       2.544439943995e-04      -1.430181418829e-06 
  167       5.173179620363e+03       1.031619175903e+00       1.093755485853e-02      -4.587322782061e+01       7.379080179457e-08       2.525209473240e-04      -1.409262096036e-06 
