# Matter power spectrum P(k) at redshift z=0
# for k=1.04528e-05 to 10.5313 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.344973629608e-01       9.745745339681e+02 
       3.377343840597e-01       9.562024162488e+02 
       3.409714057114e-01       9.378890244789e+02 
       3.442084279000e-01       9.198127069233e+02 
       3.474454506106e-01       9.021132690229e+02 
       3.506824738286e-01       8.849013330782e+02 
       3.539194975401e-01       8.682994069992e+02 
       3.571565217315e-01       8.523782896443e+02 
       3.603935463898e-01       8.371970143221e+02 
       3.636305715026e-01       8.227642056715e+02 
       3.668675970577e-01       8.090540115951e+02 
       3.701046230435e-01       7.960053148398e+02 
       3.733416494488e-01       7.835162829106e+02 
       3.765786762626e-01       7.714734885641e+02 
       3.798157034745e-01       7.597609469915e+02 
       3.830527310744e-01       7.482901833252e+02 
       3.862897590525e-01       7.369783949722e+02 
       3.895267873992e-01       7.257774384636e+02 
       3.927638161055e-01       7.146559043335e+02 
       3.960008451625e-01       7.035870423120e+02 
       3.992378745616e-01       6.925918950143e+02 
       4.024749042945e-01       6.816685278736e+02 
       4.057119343532e-01       6.708363134049e+02 
       4.089489647300e-01       6.601363383731e+02 
       4.121859954173e-01       6.496163643297e+02 
       4.154230264079e-01       6.393162199490e+02 
       4.186600576946e-01       6.292911835545e+02 
       4.218970892707e-01       6.195484518792e+02 
       4.251341211294e-01       6.101019145759e+02 
       4.283711532644e-01       6.009483651944e+02 
       4.316081856695e-01       5.920779761786e+02 
       4.348452183385e-01       5.834787105621e+02 
       4.380822512656e-01       5.751350371894e+02 
       4.413192844451e-01       5.670298142791e+02 
       4.445563178715e-01       5.591394957943e+02 
       4.477933515394e-01       5.514381757550e+02 
       4.510303854436e-01       5.438946947705e+02 
       4.542674195789e-01       5.364749469597e+02 
       4.575044539406e-01       5.291563057825e+02 
       4.607414885237e-01       5.219245276578e+02 
       4.639785233237e-01       5.147748053268e+02 
       4.672155583360e-01       5.077101989646e+02 
       4.704525935563e-01       5.007359602000e+02 
       4.736896289801e-01       4.938581184081e+02 
       4.769266646035e-01       4.870813034531e+02 
       4.801637004223e-01       4.804140636196e+02 
       4.834007364326e-01       4.738627440864e+02 
       4.866377726306e-01       4.674394205096e+02 
       4.898748090125e-01       4.611562997493e+02 
       4.931118455746e-01       4.550233845112e+02 
       4.963488823136e-01       4.490444576102e+02 
       4.995859192259e-01       4.432168849381e+02 
       5.028229563081e-01       4.375311142441e+02 
       5.060599935570e-01       4.319739280682e+02 
       5.092970309694e-01       4.265322266431e+02 
       5.125340685421e-01       4.211953312978e+02 
       5.157711062723e-01       4.159553720116e+02 
       5.190081441568e-01       4.108061331888e+02 
       5.222451821929e-01       4.057410689331e+02 
       5.254822203777e-01       4.007532405100e+02 
       5.287192587084e-01       3.958351600599e+02 
       5.319562971825e-01       3.909817180941e+02 
       5.351933357972e-01       3.861908164351e+02 
       5.384303745501e-01       3.814647796202e+02 
       5.416674134387e-01       3.768091860662e+02 
       5.449044524605e-01       3.722299113969e+02 
       5.481414916131e-01       3.677310582017e+02 
       5.513785308944e-01       3.633140211152e+02 
       5.546155703019e-01       3.589770672422e+02 
       5.578526098335e-01       3.547180741965e+02 
       5.610896494871e-01       3.505343834150e+02 
       5.643266892605e-01       3.464260751575e+02 
       5.675637291517e-01       3.423933133848e+02 
       5.708007691587e-01       3.384367982252e+02 
       5.740378092795e-01       3.345546080351e+02 
       5.772748495122e-01       3.307425487802e+02 
       5.805118898549e-01       3.269952767010e+02 
       5.837489303057e-01       3.233067705077e+02 
       5.869859708630e-01       3.196731603753e+02 
       5.902230115248e-01       3.160925126562e+02 
       5.934600522896e-01       3.125648272728e+02 
       5.966970931556e-01       3.090906781886e+02 
       5.999341341212e-01       3.056693715485e+02 
       6.031711751848e-01       3.022993381353e+02 
       6.064082163448e-01       2.989776823688e+02 
       6.096452575997e-01       2.957024068383e+02 
       6.128822989479e-01       2.924725104608e+02 
       6.161193403880e-01       2.892891619384e+02 
       6.193563819186e-01       2.861546322193e+02 
       6.225934235381e-01       2.830710768332e+02 
       6.258304652454e-01       2.800390113431e+02 
       6.290675070389e-01       2.770570507050e+02 
       6.323045489173e-01       2.741232010090e+02 
       6.355415908794e-01       2.712337973159e+02 
       6.387786329239e-01       2.683874747537e+02 
       6.420156750495e-01       2.655838435545e+02 
       6.452527172551e-01       2.628228230773e+02 
       6.484897595393e-01       2.601048682258e+02 
       6.517268019011e-01       2.574291000273e+02 
       6.549638443392e-01       2.547933242878e+02 
       6.582008868526e-01       2.521947819527e+02 
       6.614379294402e-01       2.496307468122e+02 
       6.646749721008e-01       2.471003780564e+02 
       6.679120148334e-01       2.446034605683e+02 
       6.711490576369e-01       2.421411291335e+02 
       6.743861005104e-01       2.397145038568e+02 
       6.776231434527e-01       2.373233015519e+02 
       6.808601864630e-01       2.349665177874e+02 
       6.840972295403e-01       2.326424704344e+02 
       6.873342726836e-01       2.303493441263e+02 
       6.905713158920e-01       2.280866269085e+02 
       6.938083591646e-01       2.258545552282e+02 
       6.970454025004e-01       2.236541022702e+02 
       7.002824458986e-01       2.214861289849e+02 
       7.035194893584e-01       2.193504103657e+02 
       7.067565328789e-01       2.172454921440e+02 
       7.099935764592e-01       2.151691943817e+02 
       7.132306200985e-01       2.131201744449e+02 
       7.164676637961e-01       2.110973917111e+02 
       7.197047075512e-01       2.091007208263e+02 
       7.229417513629e-01       2.071310513028e+02 
       7.261787952305e-01       2.051886885750e+02 
       7.294158391533e-01       2.032731507144e+02 
