# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  103       2.913343547380e+03       8.751769586060e-01       0.000000000000e+00      -2.704229487711e+01       1.064243094005e-07       4.354532552878e-04      -2.070687117528e-06 
  104       2.947786514075e+03       8.903551100090e-01       0.000000000000e+00      -2.774720829214e+01       1.057953962270e-07       4.309061968994e-04      -2.070981297902e-06 
  105       2.982414779542e+03       9.053163662562e-01       0.000000000000e+00      -2.845056709136e+01       1.051624585231e-07       4.264489473878e-04      -2.071568254614e-06 
  106       3.017226120133e+03       9.200464064833e-01       0.000000000000e+00      -2.915181216308e+01       1.045290300363e-07       4.220884109593e-04      -2.072413367744e-06 
  107       3.052217469297e+03       9.345309084988e-01       0.000000000000e+00      -2.985037847133e+01       1.038981800024e-07       4.178293943337e-04      -2.073469857418e-06 
  108       3.087384885479e+03       9.487555565739e-01       0.000000000000e+00      -3.054569525812e+01       1.032724387678e-07       4.136744388981e-04      -2.074678004957e-06 
  109       3.122723520027e+03       9.627060492323e-01       0.000000000000e+00      -3.123718624550e+01       1.026537196140e-07       4.096236489342e-04      -2.075964357047e-06 
  110       3.158227585088e+03       9.763681070400e-01       0.000000000000e+00      -3.192426983779e+01       1.020432367116e-07       4.056745159192e-04      -2.077240912935e-06 
  111       3.193890321518e+03       9.897274803955e-01       0.000000000000e+00      -3.260635932369e+01       1.014414191295e-07       4.018217388993e-04      -2.078404294632e-06 
  112       3.229703966778e+03       1.002769957319e+00       0.000000000000e+00      -3.328286307846e+01       1.008478208268e-07       3.980570409362e-04      -2.079334900157e-06 
  113       3.265659722840e+03       1.015481371244e+00       0.000000000000e+00      -3.395318476607e+01       1.002610265545e-07       3.943689816270e-04      -2.079896039783e-06 
  114       3.301747724085e+03       1.027847608805e+00       0.000000000000e+00      -3.461672354136e+01       9.967855359286e-08       3.907427656972e-04      -2.079933055317e-06 
  115       3.337957005211e+03       1.039854617628e+00       0.000000000000e+00      -3.527287425220e+01       9.909674925207e-08       3.871600476668e-04      -2.079272422397e-06 
  116       3.374276934734e+03       1.051488815251e+00       0.000000000000e+00      -3.592103444723e+01       9.851213392903e-08       3.836040356349e-04      -2.077757079210e-06 
  117       3.410701781852e+03       1.062738355627e+00       0.000000000000e+00      -3.656062593346e+01       9.792604292399e-08       3.800762991278e-04      -2.075361755902e-06 
  118       3.447226647135e+03       1.073592031946e+00       0.000000000000e+00      -3.719107623152e+01       9.734090237173e-08       3.765826450100e-04      -2.072096911075e-06 
  119       3.483846027675e+03       1.084038900502e+00       0.000000000000e+00      -3.781181226404e+01       9.675883580738e-08       3.731280149386e-04      -2.067974335430e-06 
  120       3.520553797946e+03       1.094068292025e+00       0.000000000000e+00      -3.842226061796e+01       9.618162166443e-08       3.697164158905e-04      -2.063007163548e-06 
  121       3.557343190665e+03       1.103669823020e+00       0.000000000000e+00      -3.902184780691e+01       9.561064883380e-08       3.663508491767e-04      -2.057209885200e-06 
  122       3.594206777653e+03       1.112833407103e+00       0.000000000000e+00      -3.961000053348e+01       9.504687025075e-08       3.630332379457e-04      -2.050598356182e-06 
  123       3.631136450694e+03       1.121549266336e+00       0.000000000000e+00      -4.018614595162e+01       9.449075447574e-08       3.597643531740e-04      -2.043189808673e-06 
  124       3.668123402398e+03       1.129807942567e+00       0.000000000000e+00      -4.074971192890e+01       9.394223523605e-08       3.565437381451e-04      -2.035002861117e-06 
  125       3.705158107060e+03       1.137600308763e+00       0.000000000000e+00      -4.130012730889e+01       9.340065889450e-08       3.533696314158e-04      -2.026057527640e-06 
  126       3.742230301524e+03       1.144917580351e+00       0.000000000000e+00      -4.183682217347e+01       9.286472981167e-08       3.502388882715e-04      -2.016375226979e-06 
  127       3.779328966037e+03       1.151751326548e+00       0.000000000000e+00      -4.235922810516e+01       9.233245356832e-08       3.471469006683e-04      -2.005978790946e-06 
  128       3.816442305118e+03       1.158093481704e+00       0.000000000000e+00      -4.286677844947e+01       9.180107801425e-08       3.440875156641e-04      -1.994892472412e-06 
  129       3.853558856233e+03       1.163936669334e+00       0.000000000000e+00      -4.335891392292e+01       9.126806285252e-08       3.410552774289e-04      -1.983144589569e-06 
  130       3.890670994004e+03       1.169275190346e+00       0.000000000000e+00      -4.383509957556e+01       9.073436613745e-08       3.380527521754e-04      -1.970775935659e-06 
  131       3.927771776035e+03       1.174104165150e+00       0.000000000000e+00      -4.429481019370e+01       9.020175752155e-08       3.350842493448e-04      -1.957832762760e-06 
  132       3.964853838596e+03       1.178419244120e+00       0.000000000000e+00      -4.473752541861e+01       8.967182738190e-08       3.321535656538e-04      -1.944364328891e-06 
  133       4.001909385552e+03       1.182216621167e+00       0.000000000000e+00      -4.516273004707e+01       8.914596352494e-08       3.292639474192e-04      -1.930422961983e-06 
  134       4.038930177289e+03       1.185493047313e+00       0.000000000000e+00      -4.556991433200e+01       8.862532692849e-08       3.264180521427e-04      -1.916064124237e-06 
  135       4.075907519656e+03       1.188245844265e+00       0.000000000000e+00      -4.595857428300e+01       8.811082650594e-08       3.236179093525e-04      -1.901346476892e-06 
  136       4.112832252883e+03       1.190472917989e+00       0.000000000000e+00      -4.632821196696e+01       8.760309287764e-08       3.208648807060e-04      -1.886331945384e-06 
  137       4.149694740523e+03       1.192172772287e+00       0.000000000000e+00      -4.667833580864e+01       8.710245113437e-08       3.181596193491e-04      -1.871085784914e-06 
  138       4.186484858376e+03       1.193344522365e+00       0.000000000000e+00      -4.700846089124e+01       8.660889257788e-08       3.155020285361e-04      -1.855676646405e-06 
  139       4.223191983423e+03       1.193987908414e+00       0.000000000000e+00      -4.731810925699e+01       8.612204542347e-08       3.128912195075e-04      -1.840176642868e-06 
  140       4.259804982758e+03       1.194103309180e+00       0.000000000000e+00      -4.760681020772e+01       8.564114444950e-08       3.103254686266e-04      -1.824661416161e-06 
  141       4.296312202515e+03       1.193691755538e+00       0.000000000000e+00      -4.787410060547e+01       8.516499957890e-08       3.078021737754e-04      -1.809210204151e-06 
  142       4.332701456803e+03       1.192754944068e+00       0.000000000000e+00      -4.811952517304e+01       8.469196337748e-08       3.053178100091e-04      -1.793905908276e-06 
  143       4.368960016635e+03       1.191295250629e+00       0.000000000000e+00      -4.834263679460e+01       8.421989745414e-08       3.028678844691e-04      -1.778835161502e-06 
